Country,Issuer,Denomination,Year,Mintmark,Subject,"Value, USD (CoinSnap) ",Krause Number,Value (MY),Grading,Note,Obverse photo,Reverse photo
HU,Hungary,50 filler,1991,BP,Common series,0.21,KM# 677,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/4d7d6d1a-0990-4ad6-91ea-664d42cc8e7a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/9c730c1a-0b17-4612-bf03-28d415ebee18.png
HU,Hungary,20 filler,1990,BP,Common series,0.16,KM# 676,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d159d922-60ef-4ac4-acbf-0d62da5e9bbd.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/910c6b93-8aaa-49b7-9259-d596485b2107.png
HU,Hungary,10 filler,1992,BP,Common series,0.12,KM# 675,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/1c4a276c-395c-4232-abe4-4de377167310.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3f2c8487-81eb-4058-8218-e692be1cddec.png
HU,Hungary,50 forint,2006,BP,125th Anniversary - Foundation of the Hungarian Red Cross,3.48,KM# 788,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/65a0b51c-d2a9-417d-894e-a1af564bb89b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c46667d9-8506-4db7-90a1-6c94025bf986.png
HU,Hungary,50 forint,2007,BP,50th Anniversary - Signing of the Treaty of Rome,1.82,KM# 805,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/27db5601-0e56-492c-b9de-3c599af2c9b3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/1063c742-39a3-43b6-8c8e-fb6dd78494ac.png
HU,Hungary,20 forint,2003,BP,200th Anniversary - Birth of Ferenc Deak,4.19,KM# 768,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a3be9fab-6f23-434f-8f70-1fb424bb412f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/49e83bc3-48dd-4001-a59f-d6e37a3c83c5.png
HU,Hungary,50 forint,2004,BP,Hungary joining of the European Union,2.22,KM# 773,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/2608f514-771a-46c7-bd1a-4f24bfdd086a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/aa6e17cc-9041-44e5-8e3b-4b656ad2fde5.png
RO,Romania,100 lei,1943,No mintmark,Common series,0.47,KM# 64,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/76017467-91f4-47f0-bb1b-1798eb8ba5af.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/619e9e60-6bb9-4e79-97e6-40075592d787.png
RO,Romania,5 lei,1978,No mintmark,Common series,0.23,KM# 97,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/75caf75b-8f10-4d1e-ad43-68a71f1d8fd2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c8a03005-616f-4fc9-a650-6ccd56319a12.png
RO,Romania,3 lei,1966,No mintmark,Common series,0.22,KM# 96,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/be03180a-7a75-4f1c-8233-e475d90690a6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8bad789d-106a-4cb1-a7fb-18de113c26f6.png
RO,Romania,1 leu,1966,No mintmark,Common series,0.24,KM# 95,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/523cdd63-945c-4437-a340-73744881a855.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/be14ee1d-706a-4087-aa15-a7533d12e74f.png
RO,Romania,25 bani,1982,No mintmark,Common series,0.17,KM# 94a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/5c512a99-b2d8-4194-8bf4-5043e714f099.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e7a6b90a-bf14-476c-a05e-27d476cb120e.png
RO,Romania,15 bani,1966,No mintmark,Common series,0.19,KM# 93,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/6033c980-043e-4967-9735-3c636fecd2cc.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/d31fff2d-343a-43e2-b6ea-e2a80aadd51d.png
RO,Romania,15 bani,1975,No mintmark,Common series,0.15,KM# 93a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/e9fedc17-c102-4505-97a9-aacc8fe5d41d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/d43161ac-f134-43e8-a34f-e1bf8fefcd56.png
RO,Romania,5 bani,1966,No mintmark,Common series,0.18,KM# 92,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c454f0df-5c79-4e17-b036-d6bc5fdd3670.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/42774939-9144-425b-add7-e11c0961f45e.png
RO,Romania,5 bani,1975,No mintmark,Common series,0.11,KM# 92a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c2efa5f0-58e2-4d87-9451-0268e88e5628.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/87a5b5a9-229e-43f7-80f8-68924bd7a0ac.png
RO,Romania,50 bani,2005,No mintmark,Common series,0.19,KM# 192,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/486331b7-d199-4f6b-94c0-8f763605daa8.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c47e0e0b-6c9b-4c6a-b6db-cd9698bdac30.png
RO,Romania,10 bani,2005,No mintmark,Common series,0.18,KM# 191,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/5910ceaa-5e9e-4f55-839f-b19476d0fb7c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e9177a6b-a71f-4857-a874-ad44afd1f35c.png
RO,Romania,100 lei,1992,No mintmark,Common series,0.37,KM# 111,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/7ec57500-12ef-4095-9e20-1f4c2f6416f0.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/065acef6-a2b1-48d5-9b6b-83ddcf3dcfbc.png
RO,Romania,50 lei,1994,No mintmark,Common series,0.42,KM# 110,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a24a349b-2d66-4738-a695-5cccc0750e91.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3707f51f-bc70-4b39-b351-49eca733f253.png
RO,Romania,20 lei,1991,No mintmark,Common series,0.29,KM# 109,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/758b3cee-3c57-40f7-aa74-e179d891f535.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/58208d65-b6ae-445d-a8f7-d88314c5ed31.png
RO,Romania,10 lei,1992,No mintmark,Common series,0.27,KM# 108,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/9e857171-c3b8-4298-93e0-11d28c3f2e13.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/4307b90a-a24e-4926-b9e6-b0945aa36eee.png
RO,Romania,5 lei,1994,No mintmark,Common series,0.51,KM# 114,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/4ad31da9-c295-49aa-a08a-de4225929fb6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/b43e2ab5-04ce-4130-90bd-2f922af0b8bf.png
RO,Romania,1 leu,1993,No mintmark,Common series,0.72,KM# 115,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d575f8de-d821-4772-96bd-5fda5efbc85f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/1d64e1be-648a-44a2-b966-2880691a1ed7.png
RO,Romania,1 leu,1992,No mintmark,Common series,0.81,KM# 113,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/be9cbdf6-b630-4a0e-a6a2-8e2ea2c98800.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/87571eda-0f03-431f-8f52-512f31023796.png
RO,Romania,500 lei,2000,Alignment ↑↓,Common series,0.75,KM# 145,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/7e85796b-d115-4a71-b650-ed1f0591b6f0.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/20fad081-7175-42cc-a227-1eef7a66c9d5.png
RO,Romania,1000 lei,2001,No mintmark,Common series,0.34,KM# 153,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/14757d33-d64c-40f7-823a-9e0f62e4b04f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/99ff88d2-2478-47e4-af7f-3ee45aa2b464.png
RO,Romania,5000 lei,2002,No mintmark,Common series,0.88,KM# 158,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/ee142c21-a9e8-4eac-b0be-38246e85976f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/7629b007-dfd9-4e8c-83f3-89c6f1af97ec.png
AT,Austria,1 kreuzer,1851,A,Common series,2.13,KM# 2185,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/2f3e9ca2-3219-472a-83b9-6139c031a76d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/674fcb44-fd48-4779-bd6f-4cd41bb55b14.png
"",Czechoslovakia,1 koruna,1947,No mintmark,Common series,26.37,KM# 22,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/0e78a3e0-0eab-41d6-a010-9d4ba3909a7f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a8585262-ef8a-47eb-8afb-31c68380ed83.png
"",Czechoslovakia,1 koruna,1967,No mintmark,Common series,0.15,KM# 50,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/35253e72-f408-48ca-980b-7bcae7483778.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/6ad1ca2e-6209-4612-8c7a-7cca0f069f66.png
"",Czechoslovakia,2 koruny,1974,No mintmark,Common series,0.11,KM# 75,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/8af7f451-7c61-423d-b491-0918eb53ab07.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/0a2dc33d-4476-42c8-8991-7d8fdf95c039.png
"",Czechoslovakia,50 hellers,1969,No mintmark,Common series,0.16,KM# 55.1,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/05492309-5f1c-4c7f-8ce4-9914abdf7ebf.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/6ac28bae-d08b-4796-a19a-f705092d66b6.png
"",Czechoslovakia,20 hellers,1983,No mintmark,Common series,0.21,KM# 74,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/8a24b59b-8c4d-409a-89be-44692e9ce1db.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/ad226cc1-7748-4f4e-9b13-1cabe72fced1.png
"",Czechoslovakia,10 hellers,1968,No mintmark,Common series,0.15,KM# 49.1,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/1bc295a1-2746-4882-8ae7-90d09f3bbd8a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/9736f45d-7628-489a-ae99-204fbce59891.png
"",Czechoslovakia,10 hellers,1976,No mintmark,Common series,0.13,KM# 80,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/964303ab-d082-415c-aca0-c90fd1bc890b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/74445db5-3378-4698-8cbc-b5cc9a9e291c.png
"",Czechoslovakia,5 hellers,1963,No mintmark,Common series,0.37,KM# 53,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/7e446531-7b34-4a62-96be-f70a4904adae.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a5db8ad4-e11d-4b16-9dfa-f9b4d88d6db7.png
"",Czechoslovakia,5 hellers,1978,No mintmark,Common series,0.2,KM# 86,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/9c7d0e4b-3e21-4a15-8dbd-99426acc2688.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3d8cf555-f82b-4e80-9778-90aac715c143.png
CZ,Czech Republic,20 korun,1999,b’,Common series,0.97,KM# 5,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/72affca8-a301-4e04-8fab-906261f6c4a4.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/0c7e0f01-46ed-4a9e-9d76-8ec761faf3f8.png
CZ,Czech Republic,10 korun,2000,b’,Millennium - Year 2000,0.78,KM# 42,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/2d40be10-10d0-4fb5-93d8-bd281de0d1b5.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c2573c84-e40d-45a5-88d8-1f56c7d11b54.png
CZ,Czech Republic,2 koruny,1996,b’,Common series,0.14,KM# 9,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a53767f3-95f1-421f-b8b4-ab5e848f6147.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/0a1ccbf7-85ab-4190-9fb7-740d00141457.png
CZ,Czech Republic,5 korun,1994,Leaf,Common series,0.31,KM# 8,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/3cac2dd7-61e4-433e-af19-1c034092b551.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/871e972d-d99e-40a9-afd8-ff09fab56ff8.png
CZ,Czech Republic,1 koruna,1993,leaf,Common series,0.16,KM# 7,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/bb891a7b-0d51-42fe-9908-0e836aaee213.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3815b126-e0af-4d1f-bca5-ad2489c49d16.png
CZ,Czech Republic,50 hellers,1993,Castle,Common series,0.15,KM# 3,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/dccb07fc-30ac-4cd9-8632-0ba00bc8e979.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/87301d0e-41a1-47ef-b919-caeef8d8bf4a.png
CZ,Czech Republic,20 hellers,1996,b’,Common series,0.15,KM# 2.1,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/8a558bb2-b939-4aad-ac1d-7ea15181920f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e27f430b-1c50-424c-9e97-5e62acd770f6.png
CZ,Czech Republic,10 hellers,1994,b’,Common series,0.13,KM# 6,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d4462294-1e74-4d5b-83fc-8ab1c56f2cd9.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c8a5f7b4-2422-451d-b154-6eb0421575ae.png
SK,Slovakia,10 korun,1993,MK,Common series,0.44,KM# 11.1,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/02cfa7b6-b0bc-4775-bc0e-0580770f1af2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/5ee8ecdb-6201-4f52-a971-7fedaf1076d2.png
SK,Slovakia,2 koruny,1993,MK,Common series,0.18,KM# 13,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/0c0d96f1-bbd4-45a8-99d3-82164ac56efe.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/302a0ec2-a1dd-4b10-a5a1-a4e6d4e6658d.png
SK,Slovakia,5 korun,1993,MK,Common series,0.24,KM# 14,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/3b70f889-4c09-4852-80d5-ad66408abd42.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8205e85e-694c-4a1e-beac-b9f80d750dc2.png
SK,Slovakia,1 koruna,1993,MK,Common series,0.14,KM# 12,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/f9691ac2-4ec9-4e9b-a045-b035aacfbe2b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/f372745b-74d8-4a6b-b7f5-083ffefa06c7.png
SK,Slovakia,50 halierov,1993,MK,Common series,0.21,KM# 15,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c4cf3d33-e50b-4e96-90e3-75d7aeb9ebf3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/048d5298-3912-4e2c-a395-6fefb5c23142.png
SK,Slovakia,20 halierov,1994,MK,Common series,0.12,KM# 18,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/b37f72fa-2130-42d6-b903-21f1ee26b9cd.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a01424b7-c1f6-496f-a819-f0548718360a.png
SK,Slovakia,10 halierov,1994,MK,Common series,0.17,KM# 17,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/208cf2dc-cef8-445a-946d-ef7fa72b6362.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/10c4efb9-cf6a-4871-8a47-29e83388f8a3.png
RS,Serbia,20 dinara,2003,No mintmark,Common series,0.59,KM# 38,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/84670736-0451-429f-a528-872ba8344b1e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/52b8a957-7ead-474d-8d00-d3ff31974fb2.png
RS,Serbia,10 dinara,2005,No mintmark,Common series,0.78,KM# 41,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/21b229bc-7aeb-450d-acca-0d9fbcb9f3fd.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/d5e80431-866b-4698-bc30-718d67afee9e.png
YU,Yugoslavia,5 dinara,2000,No mintmark,Common series,0.39,KM# 182,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/fabf1d26-5222-4f8f-938f-2147e68c53ac.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/92b0be23-27e1-4447-bd64-6e8f7bfea716.png
RS,Serbia,5 dinara,2003,No mintmark,Common series,0.46,KM# 36,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/84039e55-50c3-467d-a6ba-2099fa7b73d8.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/9e50417f-bb72-49b9-9a7f-2a9c19fbece5.png
RS,Serbia,5 dinara,2005,No mintmark,Common series,0.32,KM# 40,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/11406b7d-cc7b-44d7-b5d0-e6a0ae0d6f1f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c1ab03b4-b1e3-4442-862c-756e68818e60.png
YU,Yugoslavia,2 dinara,2002,No mintmark,Common series,0.32,KM# 181,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/bef0a0d9-1c2b-4758-9f74-5cd3fc2ac4b4.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/357d518b-61f5-4fab-aafd-f7483b9795fb.png
YU,Yugoslavia,1 novi dinar,1996,No mintmark,Common series,0.27,KM# 168,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/b3e6e45b-453c-4d82-905e-7bf70529e15d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/826c2b98-bbca-494a-bc97-d6ee34f486f1.png
YU,Yugoslavia,1 novi dinar,1994,No mintmark,Common series,0.34,KM# 165,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/dce9db35-11c6-4bb3-b081-885af6c1a7a0.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/83269d00-2bbe-459b-a050-80bc20f12d63.png
YU,Yugoslavia,1 dinar,2002,No mintmark,Common series,0.44,KM# 180,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c0c4883d-0eb6-45af-8f76-d46ed212e21c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/58aee89f-173b-4d06-8a6b-d2e543b851aa.png
YU,Yugoslavia,50 para,1994,No mintmark,Common series,0.22,KM# 163,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/95f46db3-1f55-477b-8b46-d762b446fce0.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/28f48e56-e1aa-4812-a5f8-0bbf819d5ca0.png
YU,Yugoslavia,50 para,1995,No mintmark,Common series,0.92,KM# 163a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/63fe6f71-9974-45c2-ae53-9b77a1a29131.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a4c91f3a-ea67-4a1f-b882-6cdfeaab4317.png
YU,Yugoslavia,50 para,1998,No mintmark,Common series,0.5,KM# 174,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/dd25400b-94cf-434a-b2ac-14a6b1feaaec.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/5d250e05-6573-4b09-b6e9-b59aed08caeb.png
YU,Yugoslavia,10 para,1997,No mintmark,Common series,1.61,KM# 173,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/ae806c36-252a-4a9b-a0c3-53bbe7665dd8.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a3e8a3dc-fea0-4056-bd99-e35d4327ba44.png
RS,Serbia,1 dinar,2005,No mintmark,Common series,0.17,KM# 39,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/dc8449e1-92e3-479d-8bd4-5ba8761f7b69.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/61bc9468-e35a-458f-8a51-28fd106b0ce9.png
YU,Yugoslavia,5 para,1996,No mintmark,Common series,2.04,KM# 164.2,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/a9dddf21-60f9-4a90-9ef1-eb5729e28d09.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/fbe0ed36-e322-416c-aba4-1d8d9f6e869a.png
YU,Yugoslavia,100 dinara,1988,No mintmark,Common series,0.41,KM# 114,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/9ef4e990-faff-45f0-bd1f-5afd0b511a7d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/348f6319-42f7-4266-96ec-9989bbc588fe.png
YU,Yugoslavia,100 dinara,1988,No mintmark,Common series,0.38,KM# 134,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/0f4a8921-81a1-425a-a0ee-ec7b2e0d7fc3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/500215fc-a648-48d4-9879-50fc2de535aa.png
YU,Yugoslavia,50 dinara,1986,No mintmark,Common series,0.26,KM# 113,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/2f412b22-a058-4f1d-9d97-247a7f990229.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/9425bf3c-5774-4d58-94c6-55dcae455ed6.png
YU,Yugoslavia,2 dinara,1984,No mintmark,Common series,0.29,KM# 87,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/53ceaf13-343c-4501-8c80-ba3511e3cf84.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/3daa7fe4-09ff-405d-89b3-00df9ec0859b.png
YU,Yugoslavia,1 dinar,1973,No mintmark,Common series,0.17,KM# 59,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c05dac20-cd9a-40ac-a047-c177075a1e40.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/c59be825-bdfb-4b20-b94c-ef56e8ca852d.png
YU,Yugoslavia,1 dinar,1983,No mintmark,Common series,0.16,KM# 86,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/bc0f27d7-f9a8-4ebb-ad69-d96e11ddb8dc.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/b625f112-45cb-44d9-a668-ef63a99fb6e4.png
YU,Yugoslavia,10 para,1981,No mintmark,Common series,0.15,KM# 44,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/6fb5684d-ade2-482c-9064-efd7c74c2827.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/0d001a83-bd99-487d-a4e1-3f17176373fb.png
YU,Yugoslavia,5 para,1974,No mintmark,Common series,0.76,KM# 43,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/ed20cb53-1c00-4de4-b071-ed7a545e313f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8f3e1c7e-b2ad-457e-b64a-4570f08c87cf.png
AT,Austria,10 schilling,1980,No mintmark,Common series,0.99,KM# 2918,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/964417ab-859a-4491-bd59-ec204752f28d.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/6e499486-8cb2-4a44-b2cf-2f48d503b4d5.png
AT,Austria,5 schilling,1982,No mintmark,Common series,0.99,KM# 2889a,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/d204ecca-acd3-4f24-b765-ce19141818a0.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/7bfcc7f0-b93e-4a5e-835c-70a7ecf0a7fb.png
AT,Austria,1 schilling,1978,No mintmark,Common series,0.22,KM# 2886,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/5d3ef6f6-e09a-493f-9cf1-120292344dae.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/72c2e1bc-2572-4ed3-9731-70f317a66310.png
AT,Austria,50 groschen,1988,No mintmark,Common series,0.46,KM# 2885,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/dbb74a48-d3b2-4224-a206-28a4a2adda71.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/a6a15457-66bc-4650-9214-9a67898f5871.png
AT,Austria,10 groschen,1965,No mintmark,Common series,0.16,KM# 2878,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/c0275216-b74f-4850-b7a1-da8215c568b6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/d021f890-ad1b-44b0-befe-9cc69b3b1582.png
PL,Poland,10 zlotych,1984,MW,Bolesław Prus,0.18,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/9e61a2a1-7d73-4768-b732-1cb3b3ebad0f.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/559e2d70-4da5-413f-9c9e-8e6fe08b2377.png
PL,Poland,10 zlotych,1988,MW,Common series,0.21,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/db551f5a-a1c4-49af-9f7c-79ea56bdaf20.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/78520d22-89f2-4600-a134-2973ff180d2f.png
PL,Poland,5 zlotych,1976,No mintmark,Common series,0.15,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/1309a085-5a2c-4ab8-a2ed-61a0845050f9.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e40b2c91-dcdb-4553-8e37-41c5c410da99.png
