Country,Issuer,Denomination,Year,Mintmark,Subject,"Value, USD (CoinSnap) ",Krause Number,Value (MY),Grading,Note,Obverse photo,Reverse photo
AT,Austria,10 hellers,1915,No mintmark,Common series,0.43,KM# 2822,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/fad66a1b-4d42-42e3-82e2-77fc97bd378b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/4f76c598-08f8-4272-be59-d55014f973e1.png
AT,Austria,10 hellers,1895,No mintmark,Common series,0.4,KM# 2802,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/8ab7a1e2-4c00-4d2f-8395-6543a02356a3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/42a1d642-705e-48cc-993a-f29e8bb3e0c5.png
AT,Austria,2 hellers,1914,No mintmark,Common series,0.39,KM# 2801,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/40891ebf-a7d4-4357-b8d8-ffcfa56d0ae9.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/697763be-651e-4284-b032-1d1f823248a8.png
HU,Hungary,2 filler,1897,K·B,Common series,0.65,KM# 481,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/7e11bebb-19c7-4456-b19a-d967472607c4.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/8e48a49c-0253-437c-88ef-da688554f2f2.png
AT,Austria,2 hellers,1911,No mintmark,Common series,0.68,KM# 2801,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/223025f5-cb68-4b0d-b2cb-5b6ac026b73e.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/96898220-bc0d-4447-a1a3-1dd5216c16e9.png
RU,Russia,5 rubles,1997,CПMД,Common series,0.1,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/cb4c0a21-0d00-49db-bb06-b2fcfd25f794.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/0f6d8fb9-15b6-491b-8d10-cfebe5854203.png
RU,Russia,2 rubles,1997,CПMД,Common series,0.04,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/36bd4173-a523-4407-8514-6fa8414974f6.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/f385ae8d-dabe-4af7-9b66-a69cfc58fc8e.png
RU,Russia,1 ruble,1997,CПMД,Common series,0.02,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/f6cb00e3-9b49-44d4-bf0f-bec2f985fa0b.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/ac294863-25a4-4dc8-9d84-5b286805a995.png
RU,Russia,1 ruble,1999,CПMД,200th Anniversary - Birth of Alexander Pushkin,4.82,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/00f5c6bd-e2ea-4f37-b309-4c5ed3124918.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/e0b173e1-c9f8-4946-b4cb-e064a3e75c8b.png
RU,Russia,1 kopek,1998,CП,Common series,0.08,,,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/194657650/f3cef86c-fba6-4913-a786-2cf3266fa180.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/194657650/357ac6f5-bfca-4807-a9da-098df1a5320e.png
